_id,name,city,state,zipCode,phone,rating,noOfPatients,serviceType,specialty,inNetwork,distance
D76420-527,Dr. Klaus Shapcott,Pittsburgh,Pennsylvania,15225,+1 412 809 3548,2.4,25,dental,Endodontist,FALSE,1.7
D49288-0358,Dr. Sonya Ayshford,Santa Monica,California,90410,+1 310 400 9665,2.3,19,dental,Maxillofacial Surgeon,TRUE,2.9
D46122-013,Dr. Nannie Destouche,Fredericksburg,Virginia,22405,+1 540 282 6014,3.5,37,dental,Oral Surgeon,FALSE,3
D53645-1120,Dr. Robbert Demelt,Washington,District of Columbia,20244,+1 202 714 2577,4.3,18,dental,Orthodontist,TRUE,3.1
D36987-2538,Dr. Prissie Devonish,Roanoke,Virginia,24034,+1 540 537 7937,2.9,24,dental,Pediatric Dentist,TRUE,3.7
D55319-501,Dr. Meggy Kenningham,Chico,California,95973,+1 530 389 0477,4.4,49,dental,Periodontist,TRUE,1.9
D68084-527,Dr. Bell Saiger,Phoenix,Arizona,85035,+1 602 892 9786,4.9,2,dental,Prosthodontist,TRUE,1.3
D0430-0537,Dr. Brandais Schade,Albany,New York,12205,+1 518 170 0304,4.5,34,dental,Dentist,FALSE,2.9
D0338-1007,Dr. Magdalena Begley,Fort Smith,Arkansas,72905,+1 479 218 0089,3.6,27,dental,Endodontist,FALSE,3.9
D58836-0973,Dr. Cullin Schoenrock,El Paso,Texas,88558,+1 915 325 6821,4.9,4,dental,Maxillofacial Surgeon,TRUE,4
D13537-175,Dr. Rufe Maberley,East Saint Louis,Illinois,62205,+1 618 838 9540,1.6,43,dental,Oral Surgeon,TRUE,3.7
D49999-602,Dr. Cammy Surgenor,Scottsdale,Arizona,85260,+1 480 493 8419,2.1,20,dental,Orthodontist,FALSE,2.2
D49643-384,Dr. Lira Milier,Indianapolis,Indiana,46207,+1 317 565 8639,2,43,dental,Pediatric Dentist,FALSE,2.7
D0143-9918,Dr. Davidson Cocks,Kalamazoo,Michigan,49048,+1 517 421 2097,2.2,12,dental,Periodontist,FALSE,3.2
D43419-314,Dr. Ginnifer Munford,Anaheim,California,92812,+1 714 335 5084,1.6,20,dental,Prosthodontist,TRUE,2.7
D43063-147,Dr. Bren Merida,Santa Ana,California,92725,+1 714 200 8605,3.8,12,dental,Endodontist,FALSE,2.8
D36987-1190,Dr. Linoel Richardet,Pittsburgh,Pennsylvania,15210,+1 724 226 3901,1.2,34,dental,Maxillofacial Surgeon,FALSE,1.9
D25021-654,Dr. Duke Castanone,Sterling,Virginia,20167,+1 571 534 3153,1.3,42,dental,Oral Surgeon,TRUE,1.1
D49967-710,Dr. Dewey Beek,Minneapolis,Minnesota,55448,+1 612 381 9918,2.1,17,dental,Orthodontist,FALSE,3
D44183-508,Dr. Laural Millimoe,Lafayette,Louisiana,70505,+1 337 238 5492,1.3,24,dental,Pediatric Dentist,FALSE,1.8
D36987-3188,Dr. Carey Alban,Los Angeles,California,90025,+1 213 935 4627,2.4,15,dental,Periodontist,FALSE,1.1
D50580-680,Dr. Stanfield Palfrie,Cleveland,Ohio,44185,+1 216 803 6170,4.3,11,dental,Prosthodontist,FALSE,2.6
D52959-518,Dr. Maurie Redit,Myrtle Beach,South Carolina,29579,+1 843 854 7251,1.3,15,dental,Dentist,FALSE,3.9
D0363-0444,Dr. Beret Wormstone,Boston,Massachusetts,2109,+1 617 722 5218,3,1,dental,Endodontist,FALSE,1.9
D58118-4035,Dr. Marya Lambrecht,Orlando,Florida,32825,+1 954 965 8309,4.6,50,dental,Maxillofacial Surgeon,FALSE,2.7
D55154-4908,Dr. Blondell Stanyland,Orange,California,92867,+1 714 255 2900,3.2,49,dental,Oral Surgeon,TRUE,3.3
D0378-0144,Dr. Nara Clipsham,Syracuse,New York,13210,+1 315 266 3527,2.9,3,dental,Orthodontist,TRUE,3.2
D0268-0803,Dr. Germaine Christer,Alexandria,Virginia,22301,+1 703 953 2076,4.4,17,dental,Endodontist,TRUE,4
D0091-7429,Dr. Ardyth Cove,Houston,Texas,77255,+1 713 915 4362,2.5,2,dental,Maxillofacial Surgeon,FALSE,2.6
D55154-9752,Dr. Fiann Bacher,Cincinnati,Ohio,45228,+1 513 399 0156,1.6,45,dental,Oral Surgeon,TRUE,3.3
D21695-185,Dr. Carce Lamp,Houston,Texas,77055,+1 832 925 3369,3.2,48,dental,Orthodontist,TRUE,2
